FlightNumber,PayloadMass,Orbit,LaunchSite,Class
1,6104.959411764706,LEO,Cape Canaveral,0
2,525.0,LEO,Cape Canaveral,0
3,677.0,ISS,Cape Canaveral,0
4,500.0,PO,Vandenberg,0
5,3170.0,GTO,Cape Canaveral,0
6,3325.0,GTO,Cape Canaveral,0
7,2296.0,ISS,Cape Canaveral,1
8,1316.0,LEO,Cape Canaveral,1
9,4535.0,GTO,Cape Canaveral,0
10,4428.0,GTO,Cape Canaveral,0
11,2216.0,ISS,Cape Canaveral,0
12,2395.0,ISS,Cape Canaveral,0
13,570.0,ES-L1,Cape Canaveral,1
14,1898.0,ISS,Cape Canaveral,0
15,4707.0,GTO,Cape Canaveral,0
16,2477.0,ISS,Cape Canaveral,0
17,2034.0,LEO,Cape Canaveral,1
18,553.0,PO,Vandenberg,0
19,5271.0,GTO,Cape Canaveral,0
20,3136.0,ISS,Cape Canaveral,1
21,4696.0,GTO,Cape Canaveral,1
22,3100.0,GTO,Cape Canaveral,1
23,2257.0,ISS,Cape Canaveral,1
24,4600.0,GTO,Cape Canaveral,1
25,5500.0,GTO,Cape Canaveral,0
26,9600.0,PO,Vandenberg,1
27,2490.0,ISS,Kennedy,1
28,5600.0,GTO,Kennedy,0
29,5300.0,GTO,Kennedy,1
30,6104.959411764706,LEO,Kennedy,1
31,6070.0,GTO,Kennedy,0
32,2708.0,ISS,Kennedy,1
33,3669.0,GTO,Kennedy,1
34,9600.0,PO,Vandenberg,1
35,6761.0,GTO,Kennedy,0
36,2910.0,ISS,Kennedy,1
37,475.0,SSO,Vandenberg,1
38,4990.0,LEO,Kennedy,1
39,9600.0,PO,Vandenberg,1
40,5200.0,GTO,Kennedy,1
41,3700.0,GTO,Kennedy,1
42,2205.0,ISS,Cape Canaveral,1
43,9600.0,PO,Vandenberg,1
44,6104.959411764706,LEO,Cape Canaveral,1
45,4230.0,GTO,Cape Canaveral,1
46,6092.0,GTO,Cape Canaveral,0
47,9600.0,PO,Vandenberg,0
48,2760.0,ISS,Cape Canaveral,0
49,350.0,HEO,Cape Canaveral,1
50,3750.0,GTO,Kennedy,1
51,5383.85,GTO,Cape Canaveral,0
52,2410.0,ISS,Cape Canaveral,0
53,7076.0,GTO,Cape Canaveral,1
54,9600.0,PO,Vandenberg,1
55,5800.0,GTO,Cape Canaveral,1
56,7060.0,GTO,Cape Canaveral,1
57,2800.0,SSO,Vandenberg,1
58,3000.0,GTO,Kennedy,1
59,4000.0,SSO,Vandenberg,1
60,2573.0,ISS,Cape Canaveral,0
61,4400.0,MEO,Cape Canaveral,0
62,9600.0,PO,Vandenberg,1
63,12259.0,ISS,Kennedy,1
64,2482.0,ISS,Cape Canaveral,1
65,13620.0,VLEO,Cape Canaveral,1
66,1425.0,SSO,Vandenberg,1
67,2227.7,ISS,Cape Canaveral,1
68,6500.0,GTO,Cape Canaveral,0
69,15600.0,VLEO,Cape Canaveral,1
70,5000.0,ISS,Cape Canaveral,1
71,6800.0,GTO,Cape Canaveral,1
72,15400.0,VLEO,Cape Canaveral,1
73,6104.959411764706,SO,Kennedy,0
74,15600.0,VLEO,Cape Canaveral,1
75,15400.0,VLEO,Cape Canaveral,0
76,1977.0,ISS,Cape Canaveral,1
77,15600.0,VLEO,Kennedy,0
78,15400.0,VLEO,Kennedy,1
79,9525.0,ISS,Kennedy,1
80,15400.0,VLEO,Cape Canaveral,1
81,15400.0,VLEO,Cape Canaveral,1
82,3880.0,MEO,Cape Canaveral,1
83,6104.959411764706,GEO,Cape Canaveral,1
84,15400.0,VLEO,Cape Canaveral,1
85,1600.0,SSO,Cape Canaveral,1
86,15400.0,VLEO,Kennedy,1
87,15400.0,VLEO,Kennedy,1
88,15400.0,VLEO,Kennedy,1
89,15400.0,VLEO,Cape Canaveral,1
90,3681.0,MEO,Cape Canaveral,1
98,6182.381443298969,LEO,Kennedy,1
99,1192.0,LEO,Vandenberg,1
100,15600.0,LEO,Cape Canaveral,1
101,2972.0,LEO,Kennedy,1
102,7000.0,GTO,Cape Canaveral,1
103,6182.381443298969,LEO,Kennedy,1
104,3500.0,GTO,Cape Canaveral,1
